"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL603031";"";"0";"422.42";"1";"5.57";"GNF-Pf-5102";"Fc1cc(F)c(C2SCCN2C(=S)Nc2cccc(C(F)(F)F)c2)c(F)c1";"IFI";"'='";"0.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1040694";"NOVARTIS: Inhibition Frequency Index (IFI) - the number of HTS assays where a compound showed > 50% inhibition/induction, expressed as a percentage of the number of assays in which the compound was tested.";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL1156829";"3";"Novartis Malaria Screening";"Proc. Natl. Acad. Sci. U.S.A.";"2008";"None";""
"CHEMBL123292";"CYCLOHEXIMIDE";"0";"281.35";"0";"1.04";"GNF-Pf-5118";"C[C@H]1C[C@H](C)C(=O)[C@H]([C@H](O)CC2CC(=O)NC(=O)C2)C1";"IFI";"'='";"19.67";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1040694";"NOVARTIS: Inhibition Frequency Index (IFI) - the number of HTS assays where a compound showed > 50% inhibition/induction, expressed as a percentage of the number of assays in which the compound was tested.";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL1156829";"3";"Novartis Malaria Screening";"Proc. Natl. Acad. Sci. U.S.A.";"2008";"None";""
"CHEMBL586023";"";"0";"512.40";"2";"5.00";"GNF-Pf-5119";"COC(=O)C1=C(C)NC2=C(C(=O)CC(c3ccc(OC)c(OC)c3)C2)C1c1ccc(Br)cc1";"IFI";"'='";"4.878";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1040694";"NOVARTIS: Inhibition Frequency Index (IFI) - the number of HTS assays where a compound showed > 50% inhibition/induction, expressed as a percentage of the number of assays in which the compound was tested.";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL1156829";"3";"Novartis Malaria Screening";"Proc. Natl. Acad. Sci. U.S.A.";"2008";"None";""
"CHEMBL578957";"";"0";"436.51";"0";"3.73";"GNF-Pf-5135";"C=CC1CC23CC(C(OC(=O)CCC(=O)O)c4ccnc5ccc(OC)cc45)N2CCC13";"IFI";"'='";"5.455";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1040694";"NOVARTIS: Inhibition Frequency Index (IFI) - the number of HTS assays where a compound showed > 50% inhibition/induction, expressed as a percentage of the number of assays in which the compound was tested.";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL1156829";"3";"Novartis Malaria Screening";"Proc. Natl. Acad. Sci. U.S.A.";"2008";"None";""
"CHEMBL600725";"";"0";"501.46";"2";"6.21";"GNF-Pf-5142";"CC(C)CN(CC(=O)Nc1cc(C(C)(C)C)nn1-c1ccccc1)C(=O)c1cc(Cl)cc(Cl)c1";"IFI";"'='";"1.869";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1040694";"NOVARTIS: Inhibition Frequency Index (IFI) - the number of HTS assays where a compound showed > 50% inhibition/induction, expressed as a percentage of the number of assays in which the compound was tested.";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL1156829";"3";"Novartis Malaria Screening";"Proc. Natl. Acad. Sci. U.S.A.";"2008";"None";""
"CHEMBL576812";"";"0";"520.65";"2";"6.55";"GNF-Pf-5146";"O=C(Cc1ccccc1)N1CCOc2c(cc(-c3csc4ccccc34)cc2OCCc2ccccn2)C1";"IFI";"'='";"4.04";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1040694";"NOVARTIS: Inhibition Frequency Index (IFI) - the number of HTS assays where a compound showed > 50% inhibition/induction, expressed as a percentage of the number of assays in which the compound was tested.";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL1156829";"3";"Novartis Malaria Screening";"Proc. Natl. Acad. Sci. U.S.A.";"2008";"None";""
"CHEMBL536655";"";"0";"352.73";"0";"2.05";"GNF-Pf-5147";"COC(=O)C1=CNC=C(C(=O)OC)C1c1ccc(Cl)c([N+](=O)[O-])c1";"IFI";"'='";"2.353";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1040694";"NOVARTIS: Inhibition Frequency Index (IFI) - the number of HTS assays where a compound showed > 50% inhibition/induction, expressed as a percentage of the number of assays in which the compound was tested.";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL1156829";"3";"Novartis Malaria Screening";"Proc. Natl. Acad. Sci. U.S.A.";"2008";"None";""
"CHEMBL548286";"";"0";"356.43";"0";"4.69";"GNF-Pf-5150";"COc1ccccc1C1CC(c2ccccc2)=NN1C(=O)c1ccccc1";"IFI";"'='";"2.299";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1040694";"NOVARTIS: Inhibition Frequency Index (IFI) - the number of HTS assays where a compound showed > 50% inhibition/induction, expressed as a percentage of the number of assays in which the compound was tested.";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL1156829";"3";"Novartis Malaria Screening";"Proc. Natl. Acad. Sci. U.S.A.";"2008";"None";""
"CHEMBL602780";"";"0";"342.18";"0";"2.79";"GNF-Pf-5156";"COC(=O)C1=CNC=C(C(=O)OC)C1c1ccc(Cl)c(Cl)c1";"IFI";"'='";"6.098";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1040694";"NOVARTIS: Inhibition Frequency Index (IFI) - the number of HTS assays where a compound showed > 50% inhibition/induction, expressed as a percentage of the number of assays in which the compound was tested.";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL1156829";"3";"Novartis Malaria Screening";"Proc. Natl. Acad. Sci. U.S.A.";"2008";"None";""
"CHEMBL580566";"";"0";"468.60";"0";"4.73";"GNF-Pf-5160";"C#CCNC(=O)c1ccc(OC2CCN(CC(c3ccccc3)c3ccccc3)CC2)c(OC)c1";"IFI";"'='";"2.74";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1040694";"NOVARTIS: Inhibition Frequency Index (IFI) - the number of HTS assays where a compound showed > 50% inhibition/induction, expressed as a percentage of the number of assays in which the compound was tested.";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL1156829";"3";"Novartis Malaria Screening";"Proc. Natl. Acad. Sci. U.S.A.";"2008";"None";""
"CHEMBL601164";"";"0";"466.46";"0";"3.27";"GNF-Pf-5163";"COC(=O)[C@@H]1C[C@@H](NC(=O)c2ccc(OC)cc2OC)CN1Cc1ccc(C(F)(F)F)cc1";"IFI";"'='";"3.478";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1040694";"NOVARTIS: Inhibition Frequency Index (IFI) - the number of HTS assays where a compound showed > 50% inhibition/induction, expressed as a percentage of the number of assays in which the compound was tested.";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL1156829";"3";"Novartis Malaria Screening";"Proc. Natl. Acad. Sci. U.S.A.";"2008";"None";""
"CHEMBL532611";"";"0";"573.74";"2";"9.18";"GNF-Pf-5172";"Cc1cc(C)c2c(c1)c(-c1ccccc1)c(-c1ccccc1)n2CC(O)Cn1cnc(-c2ccccc2)c1-c1ccccc1";"IFI";"'='";"2.299";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1040694";"NOVARTIS: Inhibition Frequency Index (IFI) - the number of HTS assays where a compound showed > 50% inhibition/induction, expressed as a percentage of the number of assays in which the compound was tested.";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL1156829";"3";"Novartis Malaria Screening";"Proc. Natl. Acad. Sci. U.S.A.";"2008";"None";""
"CHEMBL577660";"";"0";"447.02";"0";"3.21";"GNF-Pf-5183";"Cc1cc(Cl)c(S(=O)(=O)N2CCSCC2)cc1OCC(=O)NC1CCCCC1";"IFI";"'='";"0.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1040694";"NOVARTIS: Inhibition Frequency Index (IFI) - the number of HTS assays where a compound showed > 50% inhibition/induction, expressed as a percentage of the number of assays in which the compound was tested.";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL1156829";"3";"Novartis Malaria Screening";"Proc. Natl. Acad. Sci. U.S.A.";"2008";"None";""
"CHEMBL152117";"";"0";"179.22";"0";"1.07";"GNF-Pf-5230";"CC(=O)NCCc1ccc(O)cc1";"IFI";"'='";"1.481";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1040694";"NOVARTIS: Inhibition Frequency Index (IFI) - the number of HTS assays where a compound showed > 50% inhibition/induction, expressed as a percentage of the number of assays in which the compound was tested.";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL1156829";"3";"Novartis Malaria Screening";"Proc. Natl. Acad. Sci. U.S.A.";"2008";"None";""
"CHEMBL578105";"";"0";"397.91";"0";"4.37";"GNF-Pf-5237";"CN(CCCNc1ccnc2cc(Cl)ccc12)C(=O)COCc1ccccc1";"IFI";"'='";"0.9346";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1040694";"NOVARTIS: Inhibition Frequency Index (IFI) - the number of HTS assays where a compound showed > 50% inhibition/induction, expressed as a percentage of the number of assays in which the compound was tested.";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL1156829";"3";"Novartis Malaria Screening";"Proc. Natl. Acad. Sci. U.S.A.";"2008";"None";""
"CHEMBL576403";"";"0";"396.28";"1";"5.84";"GNF-Pf-5250";"Oc1c(C(Nc2ccccn2)c2cccc(Cl)c2Cl)ccc2cccnc12";"IFI";"'='";"15.38";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1040694";"NOVARTIS: Inhibition Frequency Index (IFI) - the number of HTS assays where a compound showed > 50% inhibition/induction, expressed as a percentage of the number of assays in which the compound was tested.";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL1156829";"3";"Novartis Malaria Screening";"Proc. Natl. Acad. Sci. U.S.A.";"2008";"None";""
"CHEMBL580648";"";"0";"425.33";"0";"4.94";"GNF-Pf-540";"Cc1cc(N2CCCCC2)nc2ccc(NC(=O)c3cncc(Br)c3)cc12";"IFI";"'='";"0.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1040694";"NOVARTIS: Inhibition Frequency Index (IFI) - the number of HTS assays where a compound showed > 50% inhibition/induction, expressed as a percentage of the number of assays in which the compound was tested.";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL1156829";"3";"Novartis Malaria Screening";"Proc. Natl. Acad. Sci. U.S.A.";"2008";"None";""
"CHEMBL1744501";"";"0";"866.10";"3";"4.98";"GNF-Pf-556";"CC=C[C@H]1O[C@@](O)([C@@H](C)C(O)C(C)[C@H]2OC(=O)C(OC)=CC(C)=C[C@@H](C)[C@H](O)C(CC)[C@@H](O)[C@H](C)CC(C)=CC=C[C@@H]2OC)C[C@@H](O[C@H]2C[C@@H](O)[C@H](OC(N)=O)[C@@H](C)O2)[C@@H]1C";"IFI";"'='";"17.54";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1040694";"NOVARTIS: Inhibition Frequency Index (IFI) - the number of HTS assays where a compound showed > 50% inhibition/induction, expressed as a percentage of the number of assays in which the compound was tested.";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL1156829";"3";"Novartis Malaria Screening";"Proc. Natl. Acad. Sci. U.S.A.";"2008";"None";""
"CHEMBL600496";"";"0";"256.32";"0";"2.70";"GNF-Pf-580";"COc1ccc(/C=C\c2cc[n+](C)cc2)cc1OC";"IFI";"'='";"0.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1040694";"NOVARTIS: Inhibition Frequency Index (IFI) - the number of HTS assays where a compound showed > 50% inhibition/induction, expressed as a percentage of the number of assays in which the compound was tested.";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL1156829";"3";"Novartis Malaria Screening";"Proc. Natl. Acad. Sci. U.S.A.";"2008";"None";""
"CHEMBL600339";"";"0";"412.30";"1";"6.20";"GNF-Pf-630";"CC1(C)CC(=O)c2cc(-c3ccc(Br)cc3)n(-c3ccccc3F)c2C1";"IFI";"'='";"3.125";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1040694";"NOVARTIS: Inhibition Frequency Index (IFI) - the number of HTS assays where a compound showed > 50% inhibition/induction, expressed as a percentage of the number of assays in which the compound was tested.";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL1156829";"3";"Novartis Malaria Screening";"Proc. Natl. Acad. Sci. U.S.A.";"2008";"None";""
"CHEMBL602964";"";"0";"325.44";"0";"3.81";"GNF-Pf-636";"CCN(CC)c1ccc2c(c1)OC(N)=C(C#N)C2c1ccsc1";"IFI";"'='";"9.091";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1040694";"NOVARTIS: Inhibition Frequency Index (IFI) - the number of HTS assays where a compound showed > 50% inhibition/induction, expressed as a percentage of the number of assays in which the compound was tested.";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL1156829";"3";"Novartis Malaria Screening";"Proc. Natl. Acad. Sci. U.S.A.";"2008";"None";""
"CHEMBL597860";"";"0";"354.36";"0";"3.03";"GNF-Pf-654";"COc1cc(O)c2c(=O)cc(CCOC(=O)Nc3ccccc3)[nH]c2c1";"IFI";"'='";"1.22";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1040694";"NOVARTIS: Inhibition Frequency Index (IFI) - the number of HTS assays where a compound showed > 50% inhibition/induction, expressed as a percentage of the number of assays in which the compound was tested.";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL1156829";"3";"Novartis Malaria Screening";"Proc. Natl. Acad. Sci. U.S.A.";"2008";"None";""
"CHEMBL2308884";"";"0";"420.41";"0";"-0.45";"GNF-Pf-1439";"COc1cccc2c1[C@@H](OC)[C@@]13O[C@]1(C2=O)[C@H](O)[C@@H](C)[C@](O)(C(=O)[C@@H]1O[C@H]1C)[C@H]3O";"IFI";"'='";"20.37";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1040694";"NOVARTIS: Inhibition Frequency Index (IFI) - the number of HTS assays where a compound showed > 50% inhibition/induction, expressed as a percentage of the number of assays in which the compound was tested.";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL1156829";"3";"Novartis Malaria Screening";"Proc. Natl. Acad. Sci. U.S.A.";"2008";"None";""
"CHEMBL600941";"";"0";"388.30";"1";"5.12";"GNF-Pf-2693";"CN(CCCNc1ccnc2cc(Cl)ccc12)C(=O)c1cccc(Cl)c1";"IFI";"'='";"1.852";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1040694";"NOVARTIS: Inhibition Frequency Index (IFI) - the number of HTS assays where a compound showed > 50% inhibition/induction, expressed as a percentage of the number of assays in which the compound was tested.";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL1156829";"3";"Novartis Malaria Screening";"Proc. Natl. Acad. Sci. U.S.A.";"2008";"None";""
"CHEMBL581656";"";"0";"472.53";"1";"5.77";"GNF-Pf-343";"Cc1ccccc1Nc1sc(C(=O)c2ccc([N+](=O)[O-])cc2)c(N)c1C(=O)Nc1ccccc1";"IFI";"'='";"0.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1040694";"NOVARTIS: Inhibition Frequency Index (IFI) - the number of HTS assays where a compound showed > 50% inhibition/induction, expressed as a percentage of the number of assays in which the compound was tested.";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL1156829";"3";"Novartis Malaria Screening";"Proc. Natl. Acad. Sci. U.S.A.";"2008";"None";""
"CHEMBL581658";"";"0";"563.72";"1";"2.34";"GNF-Pf-345";"O=C(CN(CCN1CCOCC1)S(=O)(=O)c1ccccn1)N1CCN(C(c2ccccc2)c2ccccc2)CC1";"IFI";"'='";"0.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1040694";"NOVARTIS: Inhibition Frequency Index (IFI) - the number of HTS assays where a compound showed > 50% inhibition/induction, expressed as a percentage of the number of assays in which the compound was tested.";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL1156829";"3";"Novartis Malaria Screening";"Proc. Natl. Acad. Sci. U.S.A.";"2008";"None";""
"CHEMBL579561";"";"0";"338.79";"0";"4.64";"GNF-Pf-403";"CCOC(=O)c1c(Cl)nnc(-c2ccccc2)c1-c1ccccc1";"IFI";"'='";"0.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1040694";"NOVARTIS: Inhibition Frequency Index (IFI) - the number of HTS assays where a compound showed > 50% inhibition/induction, expressed as a percentage of the number of assays in which the compound was tested.";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL612545";"Unchecked";"";"UNCHECKED";"CHEMBL1156829";"3";"Novartis Malaria Screening";"Proc. Natl. Acad. Sci. U.S.A.";"2008";"None";""
